SP,lat,lon,seafloor_depth_m,max_amplitude,mean_envelope,mean_inst_freq_hz,mean_cosine_phase,fault_likelihood,horizon_1_depth_m,horizon_2_depth_m,horizon_3_depth_m
125,39.77639148,-71.58601707,709.5,9.130210515817408,0.2804170548022947,85.09645184768895,-0.011870628796976137,0.19072164948453607,786.75,822.0000000000001,855.0000000000001
126,39.77629845,-71.58612727,709.5,7.471788337309728,0.2810512892230348,83.74269184090994,-0.012086521935989102,0.18041237113402062,786.75,822.0000000000001,855.0000000000001
126,39.77629845,-71.58612727,709.5,6.650919051864502,0.28016523350515576,85.54212180402654,-0.005803109256373108,0.18556701030927836,786.75,822.0000000000001,855.0000000000001
126,39.77629845,-71.58612727,709.5,5.56746717581008,0.278755127324921,83.96516697209327,-0.0048603710560391495,0.18041237113402062,786.75,822.0000000000001,855.0000000000001
126,39.77629845,-71.58612727,709.5,5.044078070891716,0.28009911953919675,85.09198866939559,-0.008857172034651395,0.1958762886597938,787.5,822.0000000000001,855.0000000000001
126,39.77629845,-71.58612727,709.5,5.236922828545096,0.2806294651691225,83.97131578604768,-0.007694309649271006,0.17525773195876287,787.5,822.0000000000001,855.0000000000001
127,39.776213,-71.58624733,709.5,5.761336033204659,0.2802674249539228,84.2031596811327,-0.00325081778207827,0.19487179487179487,787.5,822.0000000000001,855.75
127,39.776213,-71.58624733,710.25,5.732315353418447,0.2805743990864564,85.10720504192616,-0.004999690018580207,0.211340206185567,787.5,822.0000000000001,855.75
127,39.776213,-71.58624733,711.75,5.794828778491013,0.28352014390319374,84.6580491532631,-0.005551658970809589,0.18229166666666666,787.5,822.0000000000001,855.75
127,39.776213,-71.58624733,711.75,6.007005854590723,0.2858442225519105,85.78517100361078,-0.008940806631723218,0.19270833333333334,788.25,822.0000000000001,855.75
128,39.77612228,-71.58635847,711.75,6.115664970705349,0.287323307585149,87.13779864931391,-0.01398017488089769,0.1875,788.25,822.0000000000001,855.75
128,39.77612228,-71.58635847,712.5,5.851079987427245,0.28559787759679134,87.36428115558975,-0.013522722579817412,0.18324607329842932,788.25,822.0000000000001,855.75
128,39.77612228,-71.58635847,712.5,5.522858015168194,0.2857275211383645,85.78871290854211,-0.01650263290938396,0.17801047120418848,788.25,822.0000000000001,855.75
128,39.77612228,-71.58635847,712.5,5.460624048566084,0.2839738610057053,83.98711033556792,-0.013131351591878351,0.18324607329842932,788.25,822.0000000000001,855.75
129,39.77603482,-71.58647665,712.5,5.404817158530207,0.2809634641407744,86.23881931803108,-0.014443356262573879,0.18848167539267016,788.25,822.75,855.75
129,39.77603482,-71.58647665,712.5,5.168682395892661,0.2783657782718531,86.23934651012779,-0.0044754801649410005,0.17277486910994763,788.25,822.75,855.75
129,39.77603482,-71.58647665,712.5,5.0027514014909045,0.278654617959917,87.14042059883045,0.010339897351497164,0.18324607329842932,788.25,822.75,855.75
129,39.77603482,-71.58647665,712.5,5.042545876902284,0.279199917805949,87.81612050570456,0.012209894432520256,0.19895287958115182,788.25,822.75,855.75
129,39.77603482,-71.58647665,712.5,5.343047637525212,0.2790502113893897,86.46443733094003,0.010316526527006676,0.16753926701570682,789.75,822.75,855.75
130,39.77594385,-71.5865897,712.5,5.434180339121653,0.27941422504993535,87.5889198147588,0.004849524367771923,0.16753926701570682,789.75,822.75,855.75
130,39.77594385,-71.5865897,712.5,5.089719177177069,0.2769096969326904,86.2369369116026,0.0035073010912492018,0.18848167539267016,789.75,822.75,855.75
130,39.77594385,-71.5865897,712.5,5.005763097615925,0.2726928614523827,85.33678680523145,0.006560804800263181,0.19895287958115182,789.75,822.75,855.75
130,39.77594385,-71.5865897,712.5,4.810293873076447,0.2633024118388805,85.56313412007543,0.003530853453783893,0.2094240837696335,789.75,822.75,855.75
131,39.77585657,-71.58669817,712.5,4.684823759178981,0.2536503539124101,84.21244328669309,-0.007062131448025456,0.19895287958115182,789.75,822.75,855.75
131,39.77585657,-71.58669817,712.5,4.7107773810769515,0.24836429621639355,83.76212664226992,-0.004971996265987445,0.2356020942408377,789.75,823.5000000000001,855.75
131,39.77585657,-71.58669817,712.5,4.75286450830528,0.2470296901049667,84.21404437394794,-0.010298287478621375,0.225130890052356,789.75,823.5000000000001,855.75
131,39.77585657,-71.58669817,712.5,4.868757244153175,0.24970451707919195,85.34341407905166,-0.017478632706473214,0.19791666666666666,789.75,823.5000000000001,856.5000000000001
131,39.77585657,-71.58669817,712.5,4.883646104521231,0.2517475512703771,85.12300371680843,-0.013587940395618463,0.16145833333333334,789.75,823.5000000000001,856.5000000000001
132,39.77576357,-71.58680107,712.5,4.891815139282847,0.25470132466964446,84.67620287281012,-0.014401389812707856,0.1875,789.75,823.5000000000001,856.5000000000001
132,39.77576357,-71.58680107,712.5,5.016460472337563,0.2581420463834266,86.02845898840998,-0.0006376948879687433,0.1875,789.75,823.5000000000001,856.5000000000001
132,39.77576357,-71.58680107,712.5,4.995507018096368,0.26125750988502,85.12821284612212,-0.0027766262495480315,0.19791666666666666,789.75,823.5000000000001,856.5000000000001
132,39.77576357,-71.58680107,712.5,5.0289606012529715,0.26291633926387004,84.22914543180242,0.003972436251685559,0.1875,789.75,823.5000000000001,856.5000000000001
133,39.77566783,-71.58691075,714.0,5.075025108967613,0.26602893617647766,84.23279637950615,0.007748818227334561,0.22631578947368422,789.75,823.5000000000001,856.5000000000001
133,39.77566783,-71.58691075,714.0,4.897152684925686,0.2673176276448929,83.78670963105554,0.007193936578323002,0.22631578947368422,789.75,823.5000000000001,856.5000000000001
133,39.77566783,-71.58691075,714.0,4.516906727495529,0.26618524390850873,85.14124481644069,0.00588393056923784,0.24210526315789474,789.75,824.25,856.5000000000001
133,39.77566783,-71.58691075,714.0,4.654777742448336,0.2654541200457017,84.46767976562263,0.006022357409113672,0.21052631578947367,789.75,824.25,856.5000000000001
133,39.77566783,-71.58691075,714.0,5.137870987186903,0.2670468598736648,84.69376522638922,0.007962049979787758,0.2,789.75,824.25,856.5000000000001
134,39.7755703,-71.58701533,714.0,5.141452697154616,0.26867816163997144,86.49685601187873,0.003148396688771249,0.19473684210526315,789.75,824.25,856.5000000000001
134,39.7755703,-71.58701533,714.0,4.8521534140830695,0.26767488886777924,86.72622351680386,0.00811965292871719,0.2,788.25,824.25,856.5000000000001
134,39.7755703,-71.58701533,714.0,4.841292099847041,0.26953722367793614,85.15474119942878,0.013020303638601375,0.18947368421052632,788.25,824.25,856.5000000000001
134,39.7755703,-71.58701533,714.0,5.074168942882619,0.2718647847428046,87.40944427431522,-0.0059794346524275135,0.19473684210526315,788.25,824.25,856.5000000000001
135,39.7754755,-71.58712455,714.0,5.218050869916889,0.27440312384944765,86.0592160063298,-0.005431413623242514,0.18947368421052632,788.25,824.25,856.5000000000001
135,39.7754755,-71.58712455,714.0,5.278691058291267,0.2758820326628565,85.60950373028159,0.0004707947925644656,0.22105263157894736,788.25,824.25,856.5000000000001
135,39.7754755,-71.58712455,714.0,5.451726956938405,0.27780844617250594,86.73863211910046,0.005643149983729648,0.23684210526315788,788.25,824.25,856.5000000000001
135,39.7754755,-71.58712455,714.0,5.6384977695827665,0.27758299995502433,84.38300226641813,0.005043433902902057,0.23157894736842105,788.25,824.25,856.5000000000001
135,39.7754755,-71.58712455,714.0,5.6932736889075635,0.2772634452940496,83.72077048205327,-0.00039127813501596255,0.21578947368421053,788.25,824.25,856.5000000000001
136,39.77537533,-71.58722812,714.0,5.832231487668394,0.2761949133363745,83.72947198199361,0.008159391974055831,0.2578947368421053,788.25,824.25,856.5000000000001
136,39.77537533,-71.58722812,714.0,6.037435419379421,0.27631546725428846,83.50524102368323,0.006519896019970788,0.2631578947368421,788.25,824.25,856.5000000000001
136,39.77537533,-71.58722812,714.0,5.951842309324784,0.275238565294175,84.85346389817421,-0.0038517579953506894,0.26842105263157895,788.25,824.25,856.5000000000001
136,39.77537533,-71.58722812,714.0,5.518758211425563,0.2722646231323145,84.1808698606285,0.0026881151494186164,0.25263157894736843,788.25,824.25,856.5000000000001
137,39.77527658,-71.58733422,714.0,5.581910028263341,0.26982240816664016,83.7410833065217,0.019692621309403555,0.25263157894736843,788.25,824.25,856.5000000000001
137,39.77527658,-71.58733422,714.0,5.588068479423303,0.2688411752724167,84.88010686616033,0.013738893747723717,0.2631578947368421,788.25,824.25,856.5000000000001
137,39.77527658,-71.58733422,714.0,5.535621380757941,0.2695087675409295,83.98131146559611,-0.004745156039028047,0.2789473684210526,788.25,824.25,856.5000000000001
137,39.77527658,-71.58733422,714.0,5.452374255686247,0.269699784766545,83.52618472314093,-0.006868135250416119,0.2789473684210526,788.25,824.25,856.5000000000001
137,39.77527658,-71.58733422,714.0,5.264322810183658,0.26715309425270173,83.75251293599504,-0.013645753972390528,0.24210526315789474,788.25,824.25,856.5000000000001
138,39.77518275,-71.58744718,714.0,5.140883805398009,0.26453684278870804,82.18341583562989,-0.020041977180663768,0.23684210526315788,788.25,824.25,856.5000000000001
138,39.77518275,-71.58744718,714.0,4.961343246229832,0.2629657057401152,82.18548774926433,-0.015328081441883534,0.23684210526315788,788.25,824.25,856.5000000000001
138,39.77518275,-71.58744718,714.0,4.831982546899626,0.2611163020649738,81.5033433102129,-0.008521725246309708,0.2578947368421053,788.25,824.25,856.5000000000001
138,39.77518275,-71.58744718,714.0,4.808856882740174,0.2577103792095677,80.81332193707027,-0.0024053343806473937,0.23684210526315788,788.25,824.25,856.5000000000001
139,39.77508858,-71.58755842,714.0,4.844510655795758,0.25457076053153527,83.72211822157573,-0.003998456699268427,0.21578947368421053,788.25,824.25,856.5000000000001
139,39.77508858,-71.58755842,714.0,4.688499087446286,0.2529302320089441,82.46932050258782,-0.006714311198467245,0.22631578947368422,788.25,824.25,856.5000000000001
139,39.77508858,-71.58755842,714.0,4.777992316538385,0.25223935126771635,82.46282444277196,-0.009373656940791373,0.2631578947368421,788.25,824.25,856.5000000000001
139,39.77508858,-71.58755842,714.0,4.5533604372492285,0.25026058128054934,84.04167857611755,-0.006630762899621451,0.2736842105263158,788.25,824.25,856.5000000000001
139,39.77508858,-71.58755842,714.0,4.36860881547412,0.24850216777412287,84.61393993842461,-0.007393538633183459,0.25263157894736843,788.25,824.25,856.5000000000001
140,39.77499713,-71.58766965,712.5,4.163678574050827,0.25091320445453935,83.48944730910428,-0.010374788882780402,0.2708333333333333,788.25,824.25,856.5000000000001
140,39.77499713,-71.58766965,712.5,4.252523302109094,0.25662841936758346,82.9170707597848,-0.013216484369791032,0.3020833333333333,788.25,824.25,856.5000000000001
140,39.77499713,-71.58766965,712.5,4.606776488297567,0.258707647513367,82.91059232926143,-0.0009554342418760191,0.2708333333333333,788.25,824.25,856.5000000000001
140,39.77499713,-71.58766965,712.5,5.0865652526137275,0.2619990748305554,82.68278634890754,-0.0020289458415974223,0.2864583333333333,788.25,824.25,856.5000000000001
141,39.77490592,-71.58778185,712.5,5.163261398487581,0.26883319408113676,81.33057731225497,0.0030922682509817315,0.296875,786.0,824.25,856.5000000000001
141,39.77490592,-71.58778185,712.5,4.895390380322935,0.2733464993945986,82.68236613875041,0.012114973649676909,0.3020833333333333,774.7499999999999,824.25,856.5000000000001
141,39.77490592,-71.58778185,712.5,4.910304815599844,0.27171203759396856,81.78013197515297,0.008618349316976682,0.2916666666666667,774.7499999999999,824.25,856.5000000000001
141,39.77490592,-71.58778185,712.5,5.217930541775731,0.26954013664604365,80.64931402475703,0.0014364242431452031,0.2708333333333333,774.7499999999999,824.25,856.5000000000001
141,39.77490592,-71.58778185,712.5,5.162368848137244,0.27149049353124804,83.34544399098101,-0.0018584829098573126,0.2604166666666667,774.0,824.25,856.5000000000001
142,39.77481808,-71.58789998,712.5,4.998763610612703,0.27054422030301034,84.68983023753461,0.012633473338766885,0.2708333333333333,774.0,824.25,856.5000000000001
142,39.77481808,-71.58789998,712.5,5.236824012217514,0.2676014089825141,84.9081042606136,0.010019769795327158,0.28125,774.0,824.25,856.5000000000001
142,39.77481808,-71.58789998,712.5,5.392698798045013,0.2622086639311379,83.32399660233817,0.005212772330663768,0.2604166666666667,774.0,824.25,856.5000000000001
142,39.77481808,-71.58789998,712.5,5.534144420007789,0.25924775151230245,81.51565027561774,0.009916734065108875,0.2604166666666667,774.0,824.25,856.5000000000001
143,39.77473187,-71.58801653,712.5,5.575457453948383,0.2612203124967703,79.03432767882009,0.01063897858777182,0.2864583333333333,774.0,824.25,856.5000000000001
143,39.77473187,-71.58801653,712.5,5.5942243214139715,0.26482088201793197,82.18516797174402,0.017727086531307307,0.2604166666666667,774.0,824.25,856.5000000000001
143,39.77473187,-71.58801653,712.5,5.637383340173871,0.2702352435452089,82.86004406519537,0.01677389094731154,0.203125,774.0,824.25,856.5000000000001
143,39.77473187,-71.58801653,712.5,5.790211102762089,0.27188561577294823,83.53596007790631,0.0168060700246205,0.21875,773.2499999999999,824.25,856.5000000000001
143,39.77473187,-71.58801653,711.75,5.915192547315132,0.2707430570116182,83.76709723789224,0.01860688105868236,0.19170984455958548,773.2499999999999,824.25,856.5000000000001
144,39.77464352,-71.58813523,711.75,5.975369701442742,0.2725189566278271,84.22581235824308,0.0203453901106814,0.22279792746113988,773.2499999999999,824.25,856.5000000000001
144,39.77464352,-71.58813523,710.25,5.977547726121585,0.27832037669880744,85.12859766424054,0.024391500110580822,0.2358974358974359,773.2499999999999,824.25,856.5000000000001
144,39.77464352,-71.58813523,709.5,6.260728461189046,0.2814218028172181,83.99729245149462,0.0155500390256995,0.20918367346938777,773.2499999999999,824.25,856.5000000000001
