feature_id,feature_class,confidence,avg_probability,trace_idx,sample_idx,depth_m
1,vertical_fault,high,0.6818003187702933,66,2643,1982.2500000000002
1,vertical_fault,high,0.6818003187702933,45,2648,1986.0
1,vertical_fault,high,0.6818003187702933,85,2653,1989.75
1,vertical_fault,high,0.6818003187702933,72,2658,1993.5
1,vertical_fault,high,0.6818003187702933,91,2663,1997.2500000000002
1,vertical_fault,high,0.6818003187702933,78,2668,2001.0
1,vertical_fault,high,0.6818003187702933,67,2673,2004.75
1,vertical_fault,high,0.6818003187702933,71,2678,2008.5
1,vertical_fault,high,0.6818003187702933,64,2683,2012.2500000000002
1,vertical_fault,high,0.6818003187702933,86,2688,2016.0000000000002
1,vertical_fault,high,0.6818003187702933,65,2693,2019.75
1,vertical_fault,high,0.6818003187702933,74,2698,2023.5
1,vertical_fault,high,0.6818003187702933,66,2703,2027.2499999999998
1,vertical_fault,high,0.6818003187702933,95,2708,2031.0000000000002
1,vertical_fault,high,0.6818003187702933,68,2713,2034.75
1,vertical_fault,high,0.6818003187702933,60,2718,2038.5
1,vertical_fault,high,0.6818003187702933,70,2723,2042.25
1,vertical_fault,high,0.6818003187702933,45,2728,2046.0000000000002
1,vertical_fault,high,0.6818003187702933,57,2733,2049.75
1,vertical_fault,high,0.6818003187702933,64,2738,2053.5
1,vertical_fault,high,0.6818003187702933,47,2743,2057.25
1,vertical_fault,high,0.6818003187702933,56,2748,2061.0
1,vertical_fault,high,0.6818003187702933,66,2753,2064.75
1,vertical_fault,high,0.6818003187702933,75,2758,2068.5
1,vertical_fault,high,0.6818003187702933,71,2763,2072.25
1,vertical_fault,high,0.6818003187702933,55,2768,2076.0
1,vertical_fault,high,0.6818003187702933,74,2773,2079.75
1,vertical_fault,high,0.6818003187702933,73,2778,2083.5
1,vertical_fault,high,0.6818003187702933,71,2783,2087.25
1,vertical_fault,high,0.6818003187702933,67,2788,2091.0
1,vertical_fault,high,0.6818003187702933,48,2793,2094.75
1,vertical_fault,high,0.6818003187702933,64,2798,2098.5
1,vertical_fault,high,0.6818003187702933,71,2803,2102.25
1,vertical_fault,high,0.6818003187702933,73,2808,2106.0
1,vertical_fault,high,0.6818003187702933,83,2813,2109.75
1,vertical_fault,high,0.6818003187702933,66,2818,2113.5
1,vertical_fault,high,0.6818003187702933,66,2823,2117.25
1,vertical_fault,high,0.6818003187702933,65,2828,2121.0
1,vertical_fault,high,0.6818003187702933,59,2833,2124.75
1,vertical_fault,high,0.6818003187702933,56,2838,2128.5
1,vertical_fault,high,0.6818003187702933,37,2843,2132.25
1,vertical_fault,high,0.6818003187702933,68,2848,2136.0
1,vertical_fault,high,0.6818003187702933,81,2853,2139.75
1,vertical_fault,high,0.6818003187702933,85,2858,2143.5
1,vertical_fault,high,0.6818003187702933,65,2863,2147.25
1,vertical_fault,high,0.6818003187702933,66,2868,2151.0
1,vertical_fault,high,0.6818003187702933,66,2873,2154.75
1,vertical_fault,high,0.6818003187702933,74,2878,2158.5
1,vertical_fault,high,0.6818003187702933,71,2883,2162.25
1,vertical_fault,high,0.6818003187702933,63,2888,2166.0
1,vertical_fault,high,0.6818003187702933,65,2893,2169.75
1,vertical_fault,high,0.6818003187702933,79,2898,2173.5
1,vertical_fault,high,0.6818003187702933,70,2903,2177.25
1,vertical_fault,high,0.6818003187702933,61,2908,2181.0
1,vertical_fault,high,0.6818003187702933,77,2913,2184.75
1,vertical_fault,high,0.6818003187702933,70,2918,2188.5
1,vertical_fault,high,0.6818003187702933,86,2923,2192.25
1,vertical_fault,high,0.6818003187702933,70,2928,2196.0
1,vertical_fault,high,0.6818003187702933,71,2933,2199.75
1,vertical_fault,high,0.6818003187702933,68,2938,2203.5
1,vertical_fault,high,0.6818003187702933,51,2943,2207.25
1,vertical_fault,high,0.6818003187702933,54,2948,2211.0
1,vertical_fault,high,0.6818003187702933,61,2953,2214.75
1,vertical_fault,high,0.6818003187702933,66,2958,2218.5
1,vertical_fault,high,0.6818003187702933,65,2963,2222.25
1,vertical_fault,high,0.6818003187702933,77,2968,2226.0
1,vertical_fault,high,0.6818003187702933,93,2973,2229.75
1,vertical_fault,high,0.6818003187702933,54,2978,2233.5
1,vertical_fault,high,0.6818003187702933,69,2983,2237.25
1,vertical_fault,high,0.6818003187702933,78,2988,2241.0
1,vertical_fault,high,0.6818003187702933,74,2993,2244.75
1,vertical_fault,high,0.6818003187702933,73,2998,2248.5
1,vertical_fault,high,0.6818003187702933,36,3003,2252.25
1,vertical_fault,high,0.6818003187702933,61,3008,2256.0
1,vertical_fault,high,0.6818003187702933,81,3013,2259.75
1,vertical_fault,high,0.6818003187702933,77,3018,2263.5
1,vertical_fault,high,0.6818003187702933,73,3023,2267.25
1,vertical_fault,high,0.6818003187702933,60,3028,2271.0
1,vertical_fault,high,0.6818003187702933,87,3033,2274.75
1,vertical_fault,high,0.6818003187702933,72,3038,2278.5
1,vertical_fault,high,0.6818003187702933,73,3043,2282.25
1,vertical_fault,high,0.6818003187702933,71,3048,2286.0
1,vertical_fault,high,0.6818003187702933,61,3053,2289.75
1,vertical_fault,high,0.6818003187702933,76,3058,2293.5
1,vertical_fault,high,0.6818003187702933,71,3063,2297.25
1,vertical_fault,high,0.6818003187702933,69,3068,2301.0
1,vertical_fault,high,0.6818003187702933,70,3073,2304.75
1,vertical_fault,high,0.6818003187702933,53,3078,2308.5
1,vertical_fault,high,0.6818003187702933,77,3083,2312.25
1,vertical_fault,high,0.6818003187702933,64,3088,2316.0
1,vertical_fault,high,0.6818003187702933,66,3093,2319.75
1,vertical_fault,high,0.6818003187702933,70,3098,2323.5
1,vertical_fault,high,0.6818003187702933,67,3103,2327.25
1,vertical_fault,high,0.6818003187702933,56,3108,2331.0
1,vertical_fault,high,0.6818003187702933,69,3113,2334.75
1,vertical_fault,high,0.6818003187702933,81,3118,2338.5
1,vertical_fault,high,0.6818003187702933,79,3123,2342.25
1,vertical_fault,high,0.6818003187702933,71,3128,2346.0
1,vertical_fault,high,0.6818003187702933,24,3133,2349.75
1,vertical_fault,high,0.6818003187702933,70,3138,2353.5
1,vertical_fault,high,0.6818003187702933,79,3143,2357.25
1,vertical_fault,high,0.6818003187702933,53,3148,2361.0
1,vertical_fault,high,0.6818003187702933,65,3153,2364.75
1,vertical_fault,high,0.6818003187702933,72,3158,2368.5
1,vertical_fault,high,0.6818003187702933,63,3163,2372.25
1,vertical_fault,high,0.6818003187702933,87,3168,2376.0
1,vertical_fault,high,0.6818003187702933,82,3173,2379.75
1,vertical_fault,high,0.6818003187702933,73,3178,2383.5
1,vertical_fault,high,0.6818003187702933,71,3183,2387.25
1,vertical_fault,high,0.6818003187702933,80,3188,2391.0
1,vertical_fault,high,0.6818003187702933,54,3193,2394.75
1,vertical_fault,high,0.6818003187702933,67,3198,2398.5
1,vertical_fault,high,0.6818003187702933,72,3203,2402.25
1,vertical_fault,high,0.6818003187702933,59,3208,2406.0
1,vertical_fault,high,0.6818003187702933,62,3213,2409.75
1,vertical_fault,high,0.6818003187702933,80,3218,2413.5
1,vertical_fault,high,0.6818003187702933,70,3223,2417.25
1,vertical_fault,high,0.6818003187702933,78,3228,2421.0
1,vertical_fault,high,0.6818003187702933,67,3233,2424.75
1,vertical_fault,high,0.6818003187702933,70,3238,2428.5
1,vertical_fault,high,0.6818003187702933,56,3243,2432.25
1,vertical_fault,high,0.6818003187702933,61,3248,2436.0
1,vertical_fault,high,0.6818003187702933,76,3253,2439.75
1,vertical_fault,high,0.6818003187702933,72,3258,2443.5
1,vertical_fault,high,0.6818003187702933,68,3263,2447.25
1,vertical_fault,high,0.6818003187702933,65,3268,2451.0
1,vertical_fault,high,0.6818003187702933,64,3273,2454.75
1,vertical_fault,high,0.6818003187702933,71,3278,2458.5
1,vertical_fault,high,0.6818003187702933,74,3283,2462.25
1,vertical_fault,high,0.6818003187702933,41,3288,2466.0
1,vertical_fault,high,0.6818003187702933,90,3293,2469.75
1,vertical_fault,high,0.6818003187702933,66,3298,2473.5
1,vertical_fault,high,0.6818003187702933,70,3303,2477.25
1,vertical_fault,high,0.6818003187702933,67,3308,2481.0
1,vertical_fault,high,0.6818003187702933,70,3313,2484.75
1,vertical_fault,high,0.6818003187702933,66,3318,2488.5
1,vertical_fault,high,0.6818003187702933,67,3323,2492.25
1,vertical_fault,high,0.6818003187702933,77,3328,2496.0
1,vertical_fault,high,0.6818003187702933,74,3333,2499.75
1,vertical_fault,high,0.6818003187702933,67,3338,2503.5
1,vertical_fault,high,0.6818003187702933,79,3343,2507.25
1,vertical_fault,high,0.6818003187702933,64,3348,2511.0
1,vertical_fault,high,0.6818003187702933,65,3353,2514.75
1,vertical_fault,high,0.6818003187702933,73,3358,2518.5
1,vertical_fault,high,0.6818003187702933,67,3363,2522.25
1,vertical_fault,high,0.6818003187702933,65,3368,2526.0
